timestamp,true_x,true_y,pred_x,pred_y,dist_error
1769459874.080707,14.464742660522461,-19.368560791015625,18.879430770874023,-19.727256774902344,4.429235458374023
1769459874.1015396,14.40899658203125,-19.377107620239258,18.662097930908203,-19.659202575683594,4.262445449829102
1769459874.1212635,14.345236778259277,-19.38654136657715,18.604272842407227,-19.686662673950195,4.269598007202148
1769459874.1407616,14.28940486907959,-19.394508361816406,18.579193115234375,-19.715539932250977,4.301784038543701
1769459874.1608887,14.225549697875977,-19.403278350830078,18.521060943603516,-19.743465423583984,4.3089599609375
1769459874.1808934,14.169637680053711,-19.410661697387695,18.47357940673828,-19.759645462036133,4.318066120147705
1769459874.2008827,14.089702606201172,-19.420738220214844,18.415918350219727,-19.78719139099121,4.341708660125732
1769459874.2208114,14.025705337524414,-19.42839813232422,18.360301971435547,-19.8029842376709,4.3507513999938965
1769459874.2408144,13.945651054382324,-19.43747329711914,18.302528381347656,-19.830398559570312,4.374560832977295
1769459874.260986,13.881562232971191,-19.4443359375,18.23302459716797,-19.852890014648438,4.37060022354126
1769459874.2807527,13.82545280456543,-19.450048446655273,18.175413131713867,-19.880098342895508,4.371165752410889
1769459874.3010244,13.785357475280762,-19.453964233398438,18.107250213623047,-19.8972110748291,4.34456205368042
1769459874.3208385,13.737226486206055,-19.458480834960938,18.049304962158203,-19.92432403564453,4.337168216705322
1769459874.3413937,13.689075469970703,-19.46279525756836,17.99034881591797,-19.933452606201172,4.3269476890563965
1769459874.3608985,13.664993286132812,-19.46487808227539,17.933732986450195,-19.959667205810547,4.297320365905762
1769459874.3810976,13.592720031738281,-19.4708251953125,17.887496948242188,-19.964872360229492,4.323099613189697
1769459874.401169,13.536481857299805,-19.475139617919922,17.829421997070312,-19.991413116455078,4.323873043060303
1769459874.4208577,13.528446197509766,-19.47573471069336,17.77864646911621,-20.005035400390625,4.2830328941345215
1769459874.440729,13.480222702026367,-19.479183197021484,17.721006393432617,-20.031219482421875,4.2765631675720215
1769459874.4611316,13.391775131225586,-19.484989166259766,17.70274543762207,-20.003345489501953,4.342021465301514
1769459874.4808302,13.295239448547363,-19.490558624267578,17.64670181274414,-20.028091430664062,4.384538173675537
1769459874.500849,13.246953010559082,-19.493043899536133,17.59099006652832,-20.039962768554688,4.378330707550049
1769459874.5211444,13.174506187438965,-19.496395111083984,17.386308670043945,-19.99285888671875,4.240961074829102
1769459874.54078,13.126195907592773,-19.498380661010742,17.327116012573242,-20.016393661499023,4.232738971710205
1769459874.5608053,13.077877044677734,-19.500164031982422,17.276363372802734,-20.039934158325195,4.233041286468506
1769459874.5810397,12.989274024963379,-19.502918243408203,17.21639633178711,-20.06379508972168,4.264168739318848
1769459874.600831,12.973162651062012,-19.503345489501953,17.15435028076172,-20.08670997619629,4.221687316894531
1769459874.6211307,12.860363006591797,-19.505722045898438,17.09423065185547,-20.110578536987305,4.276854038238525
1769459874.641252,12.844246864318848,-19.50597381591797,17.040361404418945,-20.103179931640625,4.238399028778076
1769459874.6607375,12.755602836608887,-19.506954193115234,16.981534957885742,-20.126054763793945,4.271041393280029
1769459874.6809013,12.683070182800293,-19.50725746154785,16.783527374267578,-20.053241729736328,4.1366472244262695
1769459874.7009373,12.610535621643066,-19.507112503051758,16.721576690673828,-20.074655532836914,4.150031566619873
1769459874.7208903,12.562179565429688,-19.506763458251953,16.68475914001465,-20.11771011352539,4.167603015899658
1769459874.7407863,12.489648818969727,-19.505868911743164,16.62342071533203,-20.139469146728516,4.182046890258789
1769459874.7607658,12.417122840881348,-19.50452423095703,16.56871795654297,-20.16769027709961,4.20422887802124
1769459874.7809973,12.328492164611816,-19.502269744873047,16.507156372070312,-20.189687728881836,4.234829425811768
1769459874.800956,12.288211822509766,-19.501022338867188,16.458009719848633,-20.190675735473633,4.226444244384766
1769459874.8207524,12.239879608154297,-19.499343872070312,16.396940231323242,-20.212228775024414,4.217743396759033
1769459874.8408134,12.19155502319336,-19.497467041015625,16.348909378051758,-20.22205352783203,4.22002649307251
1769459874.8607762,12.159342765808105,-19.496103286743164,16.28795051574707,-20.243450164794922,4.195704460144043
1769459874.8807557,12.1190824508667,-19.49427604675293,16.129100799560547,-20.167274475097656,4.066101551055908
1769459874.9009678,12.054677963256836,-19.49106216430664,16.066133499145508,-20.18697166442871,4.071372032165527
1769459874.9213822,11.998339653015137,-19.487960815429688,16.08781623840332,-20.19941520690918,4.150902271270752
1769459874.9408581,11.917881965637207,-19.483057022094727,16.02816390991211,-20.218412399291992,4.175544261932373
1769459874.960853,11.85353946685791,-19.478736877441406,15.878315925598145,-20.15195083618164,4.080690860748291
1769459874.9808378,11.781183242797852,-19.473453521728516,15.850574493408203,-20.191566467285156,4.132266998291016
1769459875.0009515,11.724928855895996,-19.469036102294922,15.788599014282227,-20.209856033325195,4.130645275115967
1769459875.0207627,11.652632713317871,-19.46295738220215,15.608048439025879,-20.1699161529541,4.018097400665283
1769459875.0408826,11.620512962341309,-19.460111618041992,15.54373550415039,-20.187213897705078,3.9900319576263428
1769459875.0611408,11.564322471618652,-19.454919815063477,15.545647621154785,-20.20962142944336,4.052224636077881
1769459875.0807405,11.492114067077637,-19.447847366333008,15.483553886413574,-20.226722717285156,4.066723346710205
1769459875.1008792,11.41994857788086,-19.44032859802246,15.318263053894043,-20.161245346069336,3.964413642883301
1769459875.1212752,11.347830772399902,-19.432363510131836,15.252655982971191,-20.177284240722656,3.9752440452575684
1769459875.140709,11.259754180908203,-19.42202377319336,15.240681648254395,-20.209415435791016,4.05804967880249
1769459875.1611145,11.195747375488281,-19.414085388183594,15.176042556762695,-20.225757598876953,4.062211990356445
1769459875.1809587,11.139777183532715,-19.406850814819336,15.111988067626953,-20.24195671081543,4.059046745300293
1769459875.2006888,11.083841323852539,-19.39934730529785,15.10136604309082,-20.272296905517578,4.111270904541016
1769459875.220786,11.051894187927246,-19.394939422607422,14.950027465820312,-20.2308349609375,3.986748218536377
1769459875.2407255,11.003995895385742,-19.38816261291504,14.885470390319824,-20.246219635009766,3.975186347961426
1769459875.2609088,10.94017505645752,-19.37881851196289,14.9141845703125,-20.274295806884766,4.073650360107422
1769459875.2807543,10.860471725463867,-19.36664581298828,14.851874351501465,-20.289764404296875,4.0967607498168945
1769459875.3007424,10.804728507995605,-19.357799530029297,14.842717170715332,-20.322656631469727,4.1516618728637695
1769459875.3208127,10.733121871948242,-19.346033096313477,14.780845642089844,-20.33856964111328,4.167636871337891
1769459875.3407807,10.685423851013184,-19.337942123413086,14.63945484161377,-20.293811798095703,4.067929267883301
1769459875.3608103,10.6377592086792,-19.329654693603516,14.57603645324707,-20.30866050720215,4.0581374168396
1769459875.3808668,10.566326141357422,-19.316856384277344,14.584760665893555,-20.349275588989258,4.148940086364746
1769459875.4007802,10.5266752243042,-19.309555053710938,14.52283763885498,-20.364543914794922,4.13307523727417
1769459875.4210358,10.471206665039062,-19.299104690551758,14.388708114624023,-20.283220291137695,4.039220333099365
1769459875.4408112,10.40787410736084,-19.286836624145508,14.325539588928223,-20.296730041503906,4.045737266540527
1769459875.4609437,10.352514266967773,-19.275815963745117,14.211776733398438,-20.24817657470703,3.9798736572265625
1769459875.480782,10.28930950164795,-19.262893676757812,14.148048400878906,-20.2605037689209,3.985609769821167
1769459875.5008683,10.265625953674316,-19.257959365844727,14.055245399475098,-20.231996536254883,3.912794828414917
1769459875.5209525,10.210404396057129,-19.24625587463379,13.9903564453125,-20.243709564208984,3.90934157371521
